BusinessName,LicenseNumber,LicenseType,ServiceStreet,ServiceStreet2,ServiceUnitType,ServiceUnit,ServiceCity,ServiceCounty,ServiceState,ServiceZip,ServiceCountry,IssuedDate,MailingStreet,MailingStreet2,MailingUnitType,MailingUnit,MailingCity,MailingCounty,MailingState,MailingZip,MailingCountry
UNETIXS VASCULAR INC,1097764,TPS,125 COMMERCE PARK RD  ,,,,NORTH KINGSTOWN,WASHINGTON,RI,028528420,USA,2016-10-18 00:00:00,,,,,,,,,
SUH NOI THE LITTLE THAIGER,1107263,TPS,7150 E THOMAS RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852516367,USA,2016-01-04 00:00:00,2531 N 72ND PL  ,,,,SCOTTSDALE,MARICOPA,AZ,852572142,USA
LOLLIE'S LEGACY ON 95TH LLC,1120088,TPS,9953 N 95TH ST STE 105,,STE,105,SCOTTSDALE,MARICOPA,AZ,852584593,USA,2016-03-16 00:00:00,4651 E MICHIGAN AVE  ,,,,PHOENIX,MARICOPA,AZ,850329514,USA
CASA ROOSEVELT LLC,1023264,TPS,510 E CAMELBACK RD  ,,,,PHOENIX,MARICOPA,AZ,850121616,USA,2015-12-22 00:00:00,,,,,,,,,
SUTTER MASONRY INC,0139675,TPS,12336 W BUTLER DR STE 100,,STE,100,EL MIRAGE,MARICOPA,AZ,853353804,USA,2015-12-16 00:00:00,,,,,,,,,
LANCINA ENERGY INC,1099579,TPS,8526 W RUTH AVE  ,,,,PEORIA,MARICOPA,AZ,853457895,USA,2016-01-21 00:00:00,,,,,,,,,
IDENTITI RESOURCES LTD,1129119,TPS,1201 WILEY RD STE 150,,STE,150,SCHAUMBURG,COOK,IL,601734387,USA,2016-08-09 00:00:00,,,,,,,,,
SASSY LIZARD,1033127,TPS,7233 E 1ST AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852514403,USA,2016-01-22 00:00:00,1119 E HACKAMORE ST  ,,,,MESA,MARICOPA,AZ,852034332,USA
REALTY EXECUTIVES/PAM DESMOND,0119055,TPS,10607 N HAYDEN RD STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852608511,USA,2007-12-21 00:00:00,,,,,,,,,
JE SOUTHWEST GROUP REAL ESTATE,0880062,TPS,4245 N CRAFTSMAN CT  ,,,,SCOTTSDALE,MARICOPA,AZ,852513201,USA,2015-12-04 00:00:00,,,,,,,,,
CIRCLE K STORE #9169,1044717,TPS,4101 N HAYDEN RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852512680,USA,2015-11-21 00:00:00,PO BOX 52085  ,,,,PHOENIX,MARICOPA,AZ,850722085,USA
V T X INC AS TSTEE WORLD OMNI,0129158,TPS,6150 OMNI PARK DR  ,,,,MOBILE,MOBILE,AL,366095195,USA,2015-12-16 00:00:00,190 JIM MORAN BLVD  ,,,,DEERFIELD BEACH,BROWARD,FL,334421702,USA
PROLEAN WELLNESS,1072469,TPS,8060 E GELDING DR STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852606960,USA,2015-12-22 00:00:00,1112 E KAEL CIR  ,,,,MESA,MARICOPA,AZ,852031900,USA
DENTAL HEALTH PRODUCTS INC,1035630,TPS,2614 N SUGAR BUSH RD  ,,,,NEW FRANKEN,BROWN,WI,542299374,USA,2015-12-14 00:00:00,,,,,,,,,
EL CHAMELEON,1135054,BOP,7318 E STETSON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852513406,USA,2018-11-07 00:00:00,,,,,,,,,
PINNACLE CAPITAL MORTGAGE,1133555,BOP,6900 E CAMELBACK RD STE 240,,STE,240,SCOTTSDALE,MARICOPA,AZ,852518056,USA,2018-02-13 00:00:00,3010 LAVA RIDGE CT STE 220,,STE,220,ROSEVILLE,PLACER,CA,956613075,USA
SCOTTSDALE SKIN INSTITUTE LLC,1134772,BOP,8900 E RAINTREE DR STE 200,,STE,200,SCOTTSDALE,MARICOPA,AZ,852607307,USA,2018-09-06 00:00:00,582 CASTANO AVE  ,,,,PASADENA,LOS ANGELES,CA,911072702,USA
PAT BRADY CONSTRUCTION,0113601,TPS,3044 N 38TH CIR  ,,,,MESA,MARICOPA,AZ,852151101,USA,2015-11-21 00:00:00,,,,,,,,,
SLH RYELAND LLC,1132293,TPS,10046 E REDFIELD DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852607561,USA,2017-02-03 00:00:00,5301 N 40TH ST  ,,,,PHOENIX,MARICOPA,AZ,850181601,USA
D S DUNLAP TRUST - HAYDEN VIEW,1047303,TPS,15001 N HAYDEN RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852602673,USA,2015-12-08 00:00:00,16897 ALGONQUIN ST STE A,,STE,A,HUNTINGTON BEACH,ORANGE,CA,926493832,USA
ANGELOS ITALIAN ICE,1114523,TPS,1548 E COCOPAH ST  ,,,,PHOENIX,MARICOPA,AZ,850344623,USA,2015-12-18 00:00:00,,,,,,,,,
ASIAN ISLAND,1059848,TPS,14870 N NORTHSIGHT BLVD STE 103,,STE,103,SCOTTSDALE,MARICOPA,AZ,852602625,USA,2015-12-30 00:00:00,2633 E INDIAN SCHOOL RD STE 370,,STE,370,PHOENIX,MARICOPA,AZ,850166777,USA
STARK CONSTRUCTION AND DEVELOP,1062412,TPS,7127 E SAHUARO DR STE 106,,STE,106,SCOTTSDALE,MARICOPA,AZ,852546101,USA,2015-12-30 00:00:00,8485 E MCDONALD DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852506335,USA
SELINGER CRESCENT PROPERTIES L,1111666,TPS,935 N GRANITE REEF RD UNIT 100,,UNIT,100,SCOTTSDALE,MARICOPA,AZ,852574586,USA,2015-11-21 00:00:00,6380 E THOMAS RD STE 326,,STE,326,SCOTTSDALE,MARICOPA,AZ,852517052,USA
SOL FASHIONS LLC,1126751,BOP,6730 E MCDOWELL RD STE 109,,STE,109,SCOTTSDALE,MARICOPA,AZ,852573142,USA,2017-12-18 00:00:00,,,,,,,,,
CYCLE SHADE,1114686,TPS,12750 QUINCE LN  ,,,,WILTON,SACRAMENTO,CA,956939673,USA,2016-04-06 00:00:00,,,,,,,,,
PINK PETALS NAILS SPA,1134902,BOP,9160 E SHEA BLVD STE 111,,STE,111,SCOTTSDALE,MARICOPA,AZ,852606722,USA,2018-10-05 00:00:00,,,,,,,,,
ARROWHEAD SIDING,0143218,TPS,8014 W LONE CACTUS DR  ,,,,PEORIA,MARICOPA,AZ,853824466,USA,2008-01-30 00:00:00,8013 W LONE CACTUS DR  ,,,,PEORIA,MARICOPA,AZ,853824467,USA
MICHELLE ABLIN MSW LCSW,1124628,BOP,15030 N HAYDEN RD STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852602579,USA,2017-12-05 00:00:00,,,,,,,,,
LANDSCAPING CONTRACTORS,1036258,TPS,9602 N 16TH AVE  ,,,,PHOENIX,MARICOPA,AZ,850212127,USA,2016-01-06 00:00:00,7201 W JOHN CABOT RD  ,,,,GLENDALE,MARICOPA,AZ,853088134,USA
HEALTHY LIVING AT HOME - ARIZO,1092427,BOP,8767 E VIA DE VENTURA STE 170,,STE,170,SCOTTSDALE,MARICOPA,AZ,852583380,USA,2017-12-15 00:00:00,,,,,,,,,
LIFEGLOBAL GROUP LLC,1097081,TPS,393 SOUNDVIEW RD  ,,,,GUILFORD,NEW HAVEN,CT,064372970,USA,2016-01-11 00:00:00,,,,,,,,,
ROYALE,1101696,TPS,7014 E CAMELBACK RD SPC S41,,SPC,S41,SCOTTSDALE,MARICOPA,AZ,852511227,USA,2016-02-01 00:00:00,8419 E SAGE DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852506739,USA
CASA DE GIEKCO LLC,1133654,BOP,7310 E STETSON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852513439,USA,2017-12-08 00:00:00,6013 E WINDSOR AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852571052,USA
MILLER BARBER SHOP,1055841,TPS,3940 N MILLER RD STE C,,STE,C,SCOTTSDALE,MARICOPA,AZ,852514539,USA,2015-12-14 00:00:00,,,,,,,,,
THE PRODUCTION CHOICE LLC,0919264,TPS,514 S DREW ST  ,,,,MESA,MARICOPA,AZ,852102420,USA,2015-12-24 00:00:00,PO BOX 1297  ,,,,GILBERT,MARICOPA,AZ,852991297,USA
LESLIE'S POOL SUPPLIES #264,0141422,TPS,7908 E CHAPARRAL RD STE 111,,STE,111,SCOTTSDALE,MARICOPA,AZ,852507226,USA,2015-11-21 00:00:00,2005 E INDIAN SCHOOL RD  ,,,,PHOENIX,MARICOPA,AZ,850166113,USA
SAM POE GALLERY,1114378,TPS,422 ROBERT AVE  ,,,,BISBEE,,AZ,856030000,USA,2015-11-21 00:00:00,PO BOX 1668  ,,,,BISBEE,COCHISE,AZ,856032668,USA
BBVA COMPASS,0872877,TPS,7335 E DOUBLETREE RANCH RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852589700,USA,2015-11-21 00:00:00,PO BOX 10566  ,,,,BIRMINGHAM,JEFFERSON,AL,352960002,USA
CONOVER,1118449,TPS,7575 E INDIAN BEND RD APT 1021,,APT,1021,SCOTTSDALE,MARICOPA,AZ,852504661,USA,2016-03-03 00:00:00,4711 E FALCON DR STE 221,,STE,221,MESA,MARICOPA,AZ,852152508,USA
JZ'S DRYWALL,1033595,TPS,551 S CENTER ST  ,,,,MESA,MARICOPA,AZ,852102472,USA,2015-12-30 00:00:00,,,,,,,,,
CONCRETE INTERIORS,1077926,TPS,6702 W SURREY AVE  ,,,,PEORIA,MARICOPA,AZ,853815008,USA,2015-12-04 00:00:00,,,,,,,,,
CSHC HOLDINGS LLC,1131464,TPS,5995 N 78TH ST UNIT 2087,,UNIT,2087,SCOTTSDALE,MARICOPA,AZ,852506188,USA,2016-11-08 00:00:00,8215 N 62ND PL  ,,,,PARADISE VALLEY,MARICOPA,AZ,852532607,USA
ANDREW CARSON SCULPTURE,1110845,TPS,1531 NE 89TH ST  ,,,,SEATTLE,KING,WA,981153140,USA,2015-12-09 00:00:00,,,,,,,,,
79TH STREET LLC,0933726,TPS,15821 N 79TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852601205,USA,2015-12-16 00:00:00,10632 N SCOTTSDALE RD STE B466,,STE,B466,SCOTTSDALE,MARICOPA,AZ,852546164,USA
ERNST TRENCHING INC,1130064,TPS,4004 S 30TH ST  ,,,,PHOENIX,MARICOPA,AZ,850408651,USA,2016-09-19 00:00:00,PO BOX 9543  ,,,,FARGO,CASS,ND,581069543,USA
EARTH & SUN ADOBE INC,0101001,TPS,1518 E INDIGO ST  ,,,,MESA,MARICOPA,AZ,852033351,USA,2015-12-04 00:00:00,,,,,,,,,
SALON PS ARIZONA LLC,1096767,TPS,2620 N 68TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852571202,USA,2015-12-16 00:00:00,55 PUBLIC SQ STE 1180,,STE,1180,CLEVELAND,CUYAHOGA,OH,441131901,USA
D'S MARKET,1134368,BOP,3640 N MILLER RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852514518,USA,2018-05-09 00:00:00,3640 N MILLER RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852514518,USA
LARRY AND CANDY ZEITMAN TRUST,1095567,TPS,2535 HUERTO CT  ,,,,SAN JOSE,SANTA CLARA,CA,951284514,USA,2016-02-23 00:00:00,,,,,,,,,
MCKESSON SPECIALTY CARE DISTRI,1093551,TPS,401 MASON RD  ,,,,LA VERGNE,RUTHERFORD,TN,370863243,USA,2015-11-21 00:00:00,PO BOX 819066  ,,,,DALLAS,DALLAS,TX,753819066,USA
MUDDYWATERS LLC,1106285,TPS,7144 E STETSON DR STE 205,,STE,205,SCOTTSDALE,MARICOPA,AZ,852513273,USA,2015-12-16 00:00:00,,,,,,,,,
PDK CONTRACTING INC,1080785,TPS,14423 E VALLEJO ST  ,,,,CHANDLER,MARICOPA,AZ,852499555,USA,2015-12-28 00:00:00,,,,,,,,,
KODIAK PROPERTIES LLC,1110340,TPS,3202 N 66TH ST APT 6,,APT,6,SCOTTSDALE,MARICOPA,AZ,852516726,USA,2015-11-21 00:00:00,PO BOX 97088  ,,,,PHOENIX,MARICOPA,AZ,850607088,USA
PORTILLO'S HOT DOGS,1122635,TPS,10574 N 90TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852584526,USA,2016-01-04 00:00:00,2001 SPRING RD STE 400,,STE,400,OAK BROOK,DU PAGE,IL,605231903,USA
INFINITY SPINE CENTER,1128723,TPS,8080 E GELDING DR STE D102,,STE,D102,SCOTTSDALE,MARICOPA,AZ,852606983,USA,2016-07-29 00:00:00,,,,,,,,,
B M C ELECTRIC CO INC,0130447,TPS,19 W FRIER DR  ,,,,PHOENIX,MARICOPA,AZ,850217280,USA,2015-12-30 00:00:00,PO BOX 47268  ,,,,PHOENIX,MARICOPA,AZ,850687268,USA
PURE BENEFITS AESTHETICS & WEL,1133336,BOP,15090 N NORTHSIGHT BLVD STE 107,,STE,107,SCOTTSDALE,MARICOPA,AZ,852602611,USA,2018-09-26 00:00:00,9086 E GELDING DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852607043,USA
PSAV #3862,1134411,BOP,10600 E CRESCENT MOON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852628342,USA,2018-05-23 00:00:00,5100 RIVER RD STE 300,,STE,300,SCHILLER PARK,COOK,IL,601761058,USA
THE COVENANT COMMISSION,1013143,BOP,20555 N PIMA RD STE 140,,STE,140,SCOTTSDALE,MARICOPA,AZ,852557155,USA,2018-01-30 00:00:00,20555 N PIMA RD STE 140,,STE,140,SCOTTSDALE,MARICOPA,AZ,852557155,USA
8111 PARTNERS LLC,1066908,TPS,8111 E THOMAS RD STE 120,,STE,120,SCOTTSDALE,MARICOPA,AZ,852515876,USA,2015-12-22 00:00:00,,,,,,,,,
SUPERIOR STONE & CABINET INC,1128220,TPS,3479 E UNIVERSITY DR  ,,,,PHOENIX,MARICOPA,AZ,850347211,USA,2016-08-11 00:00:00,,,,,,,,,
TRUESHIP SOFTWARE,1059668,TPS,15020 N HAYDEN RD STE 201,,STE,201,SCOTTSDALE,MARICOPA,AZ,852602552,USA,2017-01-03 00:00:00,6501 E GREENWAY PKWY STE 103-102,,STE,103-102,SCOTTSDALE,MARICOPA,AZ,852542076,USA
SCOTTSDALE RENTALS LLC,1109798,TPS,4349 N 86TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852512904,USA,2015-11-21 00:00:00,8924 E PINNACLE PEAK RD STE G5-601,,STE,G5-601,SCOTTSDALE,MARICOPA,AZ,852553618,USA
SIX WEBERS LLC,1105259,TPS,7419 E INDIAN PLZ  ,,,,SCOTTSDALE,MARICOPA,AZ,852513594,USA,2015-12-17 00:00:00,PO BOX 10  ,,,,SCOTTSDALE,MARICOPA,AZ,852520010,USA
AMERICAN WEST INTERIORS,1122206,TPS,10245 E WINDRUNNER DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852557115,USA,2015-12-18 00:00:00,,,,,,,,,
ALLERGAN USA INC,1033054,TPS,2525 DUPONT DR  ,,,,IRVINE,ORANGE,CA,926121599,USA,2016-01-06 00:00:00,5100 W GOLDLEAF CIR STE 208,,STE,208,LOS ANGELES,LOS ANGELES,CA,900561272,USA
ARCTIC SMILES ORTHODONTICS PC,1059310,BOP,15029 N THOMPSON PEAK PKWY STE B119,,STE,B119,SCOTTSDALE,MARICOPA,AZ,852602223,USA,2017-12-13 00:00:00,,,,,,,,,
ALLEN WESLEY SHRIVER,0132064,TPS,7309 E BELLEVIEW ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852574010,USA,2007-11-27 00:00:00,827 N LAKEVIEW DR  ,,,,PRESCOTT,YAVAPAI,AZ,863016633,USA
AMERICAN TOWERS INC #00008101,0905281,TPS,116 HUNTINGTON AVE FL 11,,FL,11,BOSTON,,MA,021160000,USA,2015-12-28 00:00:00,10 PRESIDENTIAL WAY  ,,,,WOBURN,MIDDLESEX,MA,018011053,USA
BIG TEX TRAILER WORLD INC,1114360,TPS,3450 E MAIN ST  ,,,,MESA,MARICOPA,AZ,852138610,USA,2015-12-15 00:00:00,950 INTERSTATE HIGHWAY 30 E  ,,,,MOUNT PLEASANT,TITUS,TX,754557711,USA
CUSTOM VAULT CORPORATION,1015880,TPS,4 RESEARCH DR  ,,,,BETHEL,FAIRFIELD,CT,068011040,USA,2015-12-04 00:00:00,,,,,,,,,
DONALD J AND CONNIE D HOOK,1029755,TPS,7151 E RANCHO VISTA DR UNIT 2001,,UNIT,2001,SCOTTSDALE,MARICOPA,AZ,852511589,USA,2015-12-09 00:00:00,2609 S SALIDA DEL SOL  ,,,,MESA,MARICOPA,AZ,852027358,USA
TACOS EL MAURI,1099272,TPS,2617 N 71ST PL  ,,,,SCOTTSDALE,MARICOPA,AZ,852571327,USA,2018-09-26 00:00:00,,,,,,,,,
SCOTTSDALE CAR COMPANY,1115690,TPS,15955 N DIAL BLVD STE 6,,STE,6,SCOTTSDALE,MARICOPA,AZ,852601636,USA,2015-12-09 00:00:00,,,,,,,,,
TJ ROTH CONSTRUCTION LLC,1008091,TPS,10464 E CHOLLA ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852596500,USA,2016-01-04 00:00:00,,,,,,,,,
JPMORGAN CHASE BANK NATIONAL A,0932459,TPS,4031 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852514429,USA,2015-12-29 00:00:00,1111 POLARIS PKWY  ,,,,COLUMBUS,DELAWARE,OH,432402031,USA
RSJP INVESTMENTS LLC,1135014,BOP,7502 E PINNACLE PEAK RD STE 118B,,STE,118B,SCOTTSDALE,MARICOPA,AZ,852556179,USA,2018-10-31 00:00:00,6235 E BEVERLY LN  ,,,,SCOTTSDALE,MARICOPA,AZ,852541369,USA
OPM FINANCIAL INC,1113717,TPS,7940 E CAMELBACK RD UNIT 512,,UNIT,512,SCOTTSDALE,MARICOPA,AZ,852512650,USA,2015-12-23 00:00:00,290 S ALMA SCHOOL RD STE 15,,STE,15,CHANDLER,MARICOPA,AZ,852247633,USA
ARIZONA CONCESSIONS MANAGEMENT,1123138,TPS,857 E 10TH AVE  ,,,,MESA,MARICOPA,AZ,852044247,USA,2016-01-20 00:00:00,,,,,,,,,
AAA ARIZONA INC,1124837,TPS,14850 N FRANK LLOYD WRIGHT BLVD STE 111,,STE,111,SCOTTSDALE,MARICOPA,AZ,852602084,USA,2016-03-07 00:00:00,PO BOX 10810  ,,,,PHOENIX,MARICOPA,AZ,850640810,USA
FINAL TOUCH CUSTOM MADE INC,1079842,TPS,7755 E REDFIELD RD STE 500,,STE,500,SCOTTSDALE,MARICOPA,AZ,852602988,USA,2015-11-21 00:00:00,4328 E ANGELA DR  ,,,,PHOENIX,MARICOPA,AZ,850322283,USA
ORION CONSTRUCTION LLC,1099600,TPS,3008 W HERE TO THERE DR  ,,,,DESERT HILLS,MARICOPA,AZ,850866375,USA,2016-04-18 00:00:00,,,,,,,,,
TINA ALEXANDER TILE & DESIGN L,1122895,TPS,7119 E MERCER LN  ,,,,SCOTTSDALE,MARICOPA,AZ,852545225,USA,2016-01-12 00:00:00,,,,,,,,,
MISSION UNDERGROUND,1106966,TPS,4960 S GILBERT RD STE I-222,,STE,I-222,CHANDLER,MARICOPA,AZ,852495982,USA,2015-12-04 00:00:00,,,,,,,,,
INTERIORWORX LLC,1131119,TPS,20620 N 19TH AVE STE 110,,STE,110,PHOENIX,MARICOPA,AZ,850273585,USA,2016-11-30 00:00:00,,,,,,,,,
RICHARD J MASON DDS,1110712,BOP,7439 E EARLL DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852517933,USA,2017-12-05 00:00:00,,,,,,,,,
FRAMEWORK LEGAL PLLC,1110204,BOP,9375 E SHEA BLVD STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852606986,USA,2018-01-03 00:00:00,,,,,,,,,
PRAIRIE FIRE,1126428,TPS,22831 W WATKINS ST  ,,,,BUCKEYE,MARICOPA,AZ,853263839,USA,2016-04-29 00:00:00,,,,,,,,,
TRINITY DENTAL CARE,1132030,BOP,10697 N FRANK LLOYD WRIGHT BLVD STE 102,,STE,102,SCOTTSDALE,MARICOPA,AZ,852592681,USA,2017-12-05 00:00:00,,,,,,,,,
SIGMA CONTRACTING INC,0138695,TPS,9019 E BAHIA DR STE 102,,STE,102,SCOTTSDALE,MARICOPA,AZ,852601553,USA,2015-12-21 00:00:00,,,,,,,,,
SAGE COUNSELING INC,1058698,BOP,7375 E STETSON DR STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852513414,USA,2017-12-19 00:00:00,1830 S ALMA SCHOOL RD  ,,,,MESA,MARICOPA,AZ,852103056,USA
OPEN AIR CINEMA LLC,1129110,TPS,7464 E TIERRA BUENA LN STE 205,,STE,205,SCOTTSDALE,MARICOPA,AZ,852601645,USA,2016-09-28 00:00:00,806 N 2800 W  ,,,,LINDON,UTAH,UT,840421622,USA
PRO TECH BUILDING SYSTEMS,1068825,TPS,947 S 48TH ST STE 103,,STE,103,TEMPE,MARICOPA,AZ,852815122,USA,2016-01-04 00:00:00,,,,,,,,,
DATA CENTER INC,1002280,TPS,20 W 2ND AVE  ,,,,HUTCHINSON,RENO,KS,675015246,USA,2015-12-24 00:00:00,20 W 2ND AVE  ,,,,HUTCHINSON,RENO,KS,675015246,USA
BERDENA'S,1130089,TPS,7051 E 5TH AVE STE 1,,STE,1,SCOTTSDALE,MARICOPA,AZ,852513219,USA,2016-09-19 00:00:00,7100 E LINCOLN DR UNIT 3167,,UNIT,3167,SCOTTSDALE,MARICOPA,AZ,852534454,USA
LOUDMOUTH GOLF LLC,1079638,TPS,1155 CHESS DR STE 102,,STE,102,FOSTER CITY,SAN MATEO,CA,944041117,USA,2016-01-04 00:00:00,205 DE ANZA BLVD  ,,,,SAN MATEO,SAN MATEO,CA,944023989,USA
REFRESH SKIN CARE LLC,1033341,TPS,9819 N 95TH ST STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852584588,USA,2015-12-09 00:00:00,,,,,,,,,
F C J CONTRACTING LLC,1102986,TPS,5946 E PEAK VIEW RD  ,,,,CAVE CREEK,MARICOPA,AZ,853313416,USA,2015-12-14 00:00:00,,,,,,,,,
J F T DEVELOPMENT LTD,1124094,TPS,3314 N 68TH ST UNIT 130W,,UNIT,130W,SCOTTSDALE,MARICOPA,AZ,852516237,USA,2016-02-16 00:00:00,7330 N 16TH ST STE A320,,STE,A320,PHOENIX,MARICOPA,AZ,850205237,USA
PNC BANK NA,1050454,TPS,249 5TH AVE  ,,,,PITTSBURGH,ALLEGHENY,PA,152650001,USA,2015-11-21 00:00:00,300 5TH AVE  ,,,,PITTSBURGH,ALLEGHENY,PA,152222401,USA
STULZ AIR TECHNOLOGY SYSTEMS I,1023660,TPS,1572 TILCO DR  ,,,,FREDERICK,FREDERICK,MD,217048378,USA,2015-12-10 00:00:00,,,,,,,,,
REGENCYMOD AT SCOTTSDALE MARKE,1123173,TPS,6310 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852535417,USA,2016-01-21 00:00:00,,,,,,,,,
D VUJANOV AND ASSOCIATES LLC,1035154,TPS,15151 N FRANK LLOYD WRIGHT BLVD UNIT 2074,,UNIT,2074,SCOTTSDALE,MARICOPA,AZ,852602894,USA,2015-12-29 00:00:00,3055 N RED MOUNTAIN UNIT 137,,UNIT,137,MESA,MARICOPA,AZ,852071062,USA
J S J DISTRIBUTORS INC,0019071,TPS,8719 E SAN ALBERTO DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852584337,USA,2015-12-04 00:00:00,,,,,,,,,
SALON SPECTRUM ESTABLISHED 200,0893990,TPS,7103 E STETSON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852513213,USA,2015-12-21 00:00:00,,,,,,,,,
PAS DE SHOP,1131981,TPS,10155 E VIA LINDA STE G101,,STE,G101,SCOTTSDALE,MARICOPA,AZ,852585329,USA,2017-04-04 00:00:00,3464 E LINDA LN  ,,,,GILBERT,MARICOPA,AZ,852344210,USA
KOALA TY CUSTOM CLEANERS,1106315,BOP,20831 N SCOTTSDALE RD STE 103,,STE,103,SCOTTSDALE,MARICOPA,AZ,852556490,USA,2018-01-30 00:00:00,2066 E SAN CARLOS PL  ,,,,CHANDLER,MARICOPA,AZ,852493273,USA
FOUR PEAKS PROPERTIES LLC,1055738,TPS,7706 E ACOMA DR STE 2,,STE,2,SCOTTSDALE,MARICOPA,AZ,852602961,USA,2016-08-16 00:00:00,PO BOX 519  ,,,,REXBURG,MADISON,ID,834400519,USA
WESTPARK CVH LLC,1127801,TPS,3200 N HAYDEN RD STE 315,,STE,315,SCOTTSDALE,MARICOPA,AZ,852516655,USA,2016-06-22 00:00:00,,,,,,,,,
NORMA GARCIA TORRES ART,1073334,TPS,2101 E PRESCOTT PL  ,,,,CHANDLER,MARICOPA,AZ,852492995,USA,2016-05-03 00:00:00,2101 E PRESCOTT PL  ,,,,CHANDLER,MARICOPA,AZ,852492995,USA
TSONTAKIS ARCHITECTURE LLC,0086074,BOP,9430 E PRESIDIO RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852604389,USA,2017-12-19 00:00:00,9430 E PRESIDIO RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852604389,USA
LIFESTYLE INTERIOR CONTRACTORS,0896376,TPS,16207 N BOTTLEBRUSH WAY  ,,,,FOUNTAIN HILLS,MARICOPA,AZ,852681535,USA,2015-12-31 00:00:00,,,,,,,,,
ECKERT,1122567,TPS,2935 N 68TH ST UNIT 226,,UNIT,226,SCOTTSDALE,MARICOPA,AZ,852516864,USA,2016-01-04 00:00:00,2150 E HIGHLAND AVE STE 103,,STE,103,PHOENIX,MARICOPA,AZ,850164720,USA
XYNGULAR CORPORATION,1092514,TPS,1250 E 200 S STE 2C,,STE,2C,LEHI,UTAH,UT,840431483,USA,2016-01-05 00:00:00,1329 S 800 E  ,,,,OREM,UTAH,UT,840977737,USA
APPLIED CONCEPTS INC,0138461,TPS,2609 TECHNOLOGY DR  ,,,,PLANO,COLLIN,TX,750747467,USA,2015-12-11 00:00:00,2906 TECHNOLOGY DR  ,,,,PLANO,,TX,750740000,USA
SCHUSTER C P A WILLIAM C,0082922,BOP,7375 E STETSON DR STE 106,,STE,106,SCOTTSDALE,MARICOPA,AZ,852513414,USA,2007-12-18 00:00:00,,,,,,,,,
HELENE S FENLON PLC,1109709,BOP,10165 N 92ND ST STE 102,,STE,102,SCOTTSDALE,MARICOPA,AZ,852584558,USA,2017-12-05 00:00:00,,,,,,,,,
METAVANTE CORP,0874307,TPS,4900 W BROWN DEER RD  ,,,,MILWAUKEE,MILWAUKEE,WI,532232422,USA,2015-12-22 00:00:00,601 RIVERSIDE AVE FL 10,,FL,10,JACKSONVILLE,DUVAL,FL,322042901,USA
MICHAEL P UPSHAW ATTY AT LAW,0029396,BOP,8171 E INDIAN BEND RD STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852504830,USA,2008-01-29 00:00:00,,,,,,,,,
SGM CONSTRUCTION LLC,1107041,TPS,15747 W SHANGRI LA RD  ,,,,SURPRISE,MARICOPA,AZ,853794801,USA,2018-04-05 00:00:00,,,,,,,,,
RESORT CLUB AT TROON NORTH OWN,0869612,TPS,10650 E CRESCENT MOON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852628342,USA,2015-12-16 00:00:00,10650 E CRESCENT MOON DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852628342,USA
ALPINE CLOCK SHOP,0933710,TPS,3202 N SCOTTSDALE RD STE D11,,STE,D11,SCOTTSDALE,MARICOPA,AZ,852516412,USA,2016-01-11 00:00:00,,,,,,,,,
